winnalpadalikkeyU winnu(V15)+alpadalikkeyU_u_INCL
winnalpattalliyU winnu(V15)+alpattalliyU_u_INCL
winnuvuxannu winnu(V15)+vuxannu_#_ACC
winnuvuxariMMxa winnu(V15)+vuxariMMxa_#_INS
winnuvuxakkeV winnu(V15)+vuxakkeV_#_DAT
winnuvuxariMMxa winnu(V15)+vuxariMMxa_#_ABL
winnuvuxara winnu(V15)+vuxara_#_GEN
winnuvuxaralli winnu(V15)+vuxaralli_#_LOC
winnuvuxakkoskara winnu(V15)+vuxu_#_DAT+xakkoskara_xu_BEN
winnuvuxakkoskara winnu(V15)+vuxu_#_DAT+xakkoskara_xu_PUR
winnuvuxakkAgi winnu(V15)+vuxu_#_DAT+xakkAgi_xu_BEN
winnuvuxakkAgi winnu(V15)+vuxu_#_DAT+xakkAgi_xu_PUR
winnuvuMxakkosuga winnu(V15)+vuxu_#_DAT+Mxakkosuga_xu_BEN
winnuvuMxakkosuga winnu(V15)+vuxu_#_DAT+Mxakkosuga_xu_PUR
winnuvuMxakkiMwa winnu(V15)+vuxu_#_DAT+MxakkiMwa_xu_COMP
winnuvaMweV winnu(V15)+vaMweV_#_SIM
winnuvaMwa winnu(V15)+vaMwa_#_SIM
winnuvaMwaha winnu(V15)+vaMwaha_#_SIM
winnuvuxaroVdaneV winnu(V15)+vuxu_#_GEN+xaroVdaneV_xu_SOC
winnuvuxaroVMxigeV winnu(V15)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
winnuvavanannu winnu(V15)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
winnuvavanannA winnu(V15)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
winnuvavanannU winnu(V15)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
