gudisalpaduvuvU gudisu(V28)+alpaduvuvU_u_INCL
gudisalpattarU gudisu(V28)+alpattarU_u_INCL
gudisalpaduwwalU gudisu(V28)+alpaduwwalU_u_INCL
gudisalpadalU gudisu(V28)+alpadalU_u_INCL
gudisalpadalikkeyU gudisu(V28)+alpadalikkeyU_u_INCL
gudisalpattalliyU gudisu(V28)+alpattalliyU_u_INCL
gudisuvuxannu gudisu(V28)+vuxannu_#_ACC
gudisuvuxariMxa gudisu(V28)+vuxariMxa_#_INS
gudisuvuxakkeV gudisu(V28)+vuxakkeV_#_DAT
gudisuvuxariMxa gudisu(V28)+vuxariMxa_#_ABL
gudisuvuxara gudisu(V28)+vuxara_#_GEN
gudisuvuxaralli gudisu(V28)+vuxaralli_#_LOC
gudisuvuxakkoskara gudisu(V28)+vuxu_#_DAT+xakkoskara_xu_BEN
gudisuvuxakkoskara gudisu(V28)+vuxu_#_DAT+xakkoskara_xu_PUR
