iruvuxakkiri iru(V8)+vuxu_#_DAT+xakkiri_xu_BEN
iruvuxakkiri iru(V8)+vuxu_#_DAT+xakkiri_xu_PUR
iruvuxakkosuga iru(V8)+vuxu_#_DAT+xakkosuga_xu_BEN
iruvuxakkosuga iru(V8)+vuxu_#_DAT+xakkosuga_xu_PUR
iruvuxakkiMwa iru(V8)+vuxu_#_DAT+xakkiMwa_xu_COMP
iruvaMweV iru(V8)+vaMweV_#_SIM
iruvaMwa iru(V8)+vaMwa_#_SIM
iruvaMwaha iru(V8)+vaMwaha_#_SIM
iruvuxaroVdaneV iru(V8)+vuxu_#_GEN+xaroVdaneV_xu_SOC
iruvuxaroVMxigeV iru(V8)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
iruvavanannu iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nannu_nu_3SM
iruvavanannA iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nannA_nu_INTR
iruvavanannU iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nannU_nu_INCL
iruvavananno iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nanno_nu_DUB
iruvavananno iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nanno_nu_INDF
iruvavananno iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nanno_nu_PRES
iruvavananne iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nanne_nu_IMPH
iruvavananne iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nanne_nu_DECL
iruvavananne iru(V8)+ruva_ru_PRP+vavanu_va_ACC+nanne_nu_RIS
iruvavaniMxa iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxa_nu_3SM
iruvavaniMxalA iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxalA_nu_INTR
iruvavaniMxalU iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxalU_nu_INCL
iruvavaniMxalo iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxalo_nu_DUB
iruvavaniMxalo iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxalo_nu_INDF
iruvavaniMxalo iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxalo_nu_PRES
iruvavaniMxale iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxale_nu_IMPH
iruvavaniMxale iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxale_nu_DECL
iruvavaniMxale iru(V8)+ruva_ru_PRP+vavanu_va_INS+niMxale_nu_RIS
iruvavanigeV iru(V8)+ruva_ru_PRP+vavanu_va_DAT+nigeV_nu_3SM
iruvavanigeVyA iru(V8)+ruva_ru_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
iruvavanigeVyU iru(V8)+ruva_ru_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
